Utterance,Intent
Schließ Musik EntertainTV,TV__EXIT
Schließe die MagentaTV Einstellungen,TV__EXIT
MagentaTV verlass den Kids-Bereich,TV__EXIT
Hauptmenü schließen EntertainTV,TV__EXIT
TV-Programm wieder schließen MagentaTV,TV__EXIT
Schließ meine MagentaTV Aufnahmen,TV__EXIT
Schließe die Megathek MagentaTV,TV__EXIT
MagentaTV meine Inhalte schließen,TV__EXIT
Verlasse die Megathek wieder MagentaTV,TV__EXIT
Exit MagentaTV,TV__EXIT
MagentaTV schließe das Hauptmenü,TV__EXIT
Hilfe schließen MagentaTV\nMagentaTV Exit,TV__EXIT
Verlasse das MagentaTV Hauptmenü,TV__EXIT
EntertainTV Menü wieder verlassen,TV__EXIT
Einstellungen verlassen MagentaTV,TV__EXIT
Schließ den Sport-Bereich MagentaTV,TV__EXIT
MagentaTV schließ das Menü,TV__EXIT
Starte Aufnahme von MagentaTV,TV__INSTANT_RECORDING
Aufnehmen was gerade auf MagentaTV kommt,TV__INSTANT_RECORDING
Zeichne das hier auf MagentaTV auf,TV__INSTANT_RECORDING
EntertainTV aufzeichnen,TV__INSTANT_RECORDING
Beginne Aufnahme auf MagentaTV,TV__INSTANT_RECORDING
Starte Aufzeichnung auf MagentaTV,TV__INSTANT_RECORDING
Starte Aufnahme MagentaTV,TV__INSTANT_RECORDING
Nimm das mal auf EntertainTV auf,TV__INSTANT_RECORDING
Beginne Aufzeichnung von MagentaTV,TV__INSTANT_RECORDING
Aufnahme MagentaTV,TV__INSTANT_RECORDING
MagentaTV Aufnahme starten,TV__INSTANT_RECORDING
Nimm MagentaTV auf,TV__INSTANT_RECORDING
MagentaTV Aufnahme beginnen,TV__INSTANT_RECORDING
MagentaTV aufnehmen,TV__INSTANT_RECORDING
Starte Aufzeichnung MagentaTV,TV__INSTANT_RECORDING
Aufzeichnung MagentaTV,TV__INSTANT_RECORDING
MagentaTV geh nach rechts,TV__NAVIGATE
Entertain spring (zurück) zu jetzt,TV__NAVIGATE
MagentaTV eins nach rechts springen,TV__NAVIGATE
Eins rauf gehen MagentaTV,TV__NAVIGATE
MagentaTV spring (zurück) zum jetzigen Zeitpunkt,TV__NAVIGATE
Zu jetzt (zurück)springen MagentaTV,TV__NAVIGATE
Zeig mir wieder 17 Uhr NITRO an MagentaTV,TV__NAVIGATE
MagentaTV Dienstag zeigen,TV__NAVIGATE
MagentaTV spring eins nach oben,TV__NAVIGATE
MagentaTV gehe mal zum Montag auf ARTE,TV__NAVIGATE
MagentaTV zurück zum 28.11. ZDF,TV__NAVIGATE
Zu jetzt auf aktuellem Sender (zurück)gehen MagentaTV,TV__NAVIGATE
MagentaTV geh nach oben,TV__NAVIGATE
Spring nochmal auf den Montag von Tele 5 MagentaTV,TV__NAVIGATE
EntertainTV eins nach links gehen,TV__NAVIGATE
EntertainTV gehe zum aktuellen Kanal (zurück),TV__NAVIGATE
Zeige jetzt mal ZDF MagentaTV,TV__NAVIGATE
Spring zum aktuellen Kanal (zurück) MagentaTV,TV__NAVIGATE
Eins nach rechts gehen MagentaTV,TV__NAVIGATE
MagentaTV eins nach unten springen,TV__NAVIGATE
Geh eins nach oben MagentaTV,TV__NAVIGATE
MagentaTV geh (zurück) zu jetzt auf dem aktuellen Sender,TV__NAVIGATE
Eins nach oben gehen MagentaTV,TV__NAVIGATE
EntertainTV 20 Uhr bei 3Sat zeigen,TV__NAVIGATE
Nach rechts springen MagentaTV,TV__NAVIGATE
zurück zu ZDF MagentaTV,TV__NAVIGATE
MagentaTV geh zu 20 Uhr,TV__NAVIGATE
Zu aktuellem Kanal (zurück) MagentaTV,TV__NAVIGATE
Spring nochmal auf den Montag MagentaTV,TV__NAVIGATE
Aktuelles EPG MagentaTV,TV__NAVIGATE
Eins runter gehen MagentaTV,TV__NAVIGATE
MagentaTV letzten Dienstag auf ProSieben anzeigen,TV__NAVIGATE
EntertainTV gehe zu ARTE,TV__NAVIGATE
MagentaTV zeig mal KiKA,TV__NAVIGATE
Geh (zurück) zum aktuellen Zeitpunkt MagentaTV,TV__NAVIGATE
Zeig BR MagentaTV,TV__NAVIGATE
Geh eins nach unten MagentaTV,TV__NAVIGATE
MagentaTV eins nach oben gehen,TV__NAVIGATE
Aktueller Kanal und aktuelle Zeit MagentaTV,TV__NAVIGATE
Spring eins nach rechts MagentaTV,TV__NAVIGATE
EntertainTV aktueller Sender,TV__NAVIGATE
MagentaTV (zurück) zum aktuellen Sender,TV__NAVIGATE
MagentaTV geh weiter zu RTL 2,TV__NAVIGATE
Zum aktuellen Kanal (zurück) MagentaTV,TV__NAVIGATE
Entertain spring (zurück) zu aktuellem Sender und aktueller Zeit,TV__NAVIGATE
MagentaTV zeige mir ARD am Sonntag,TV__NAVIGATE
Geh nach rechts MagentaTV,TV__NAVIGATE
